course_name,entry_date,student_number,student_name,class_number,grade1,grade2,grade3,grade4,grade5,grade6,note1,note2
数学I,2025-09-20,024,佐々木 葵,2-B,3,1,3,,,,,
数学I,2025-09-20,018,斎藤 楓,1-B,3,2,0,95.5,95.0,,要注意,
数学I,2025-09-20,003,鈴木 さくら,2-C,2,0,1,,,,良好,
数学I,2025-09-20,016,佐藤 大輔,2-C,1,1,,74.4,,,,
数学I,2025-09-20,022,渡辺 凛,1-B,1,4,1,,,,要注意,
数学I,2025-09-20,006,伊藤 楓,1-B,2,1,,,95.1,,,
数学I,2025-09-20,008,加藤 大輔,1-A,0,3,,85.5,,,良好,
数学I,2025-09-20,009,清水 健太,2-B,0,4,4,,73.7,,要注意,
数学I,2025-09-20,012,松本 さくら,2-B,0,1,,,91.7,,,
数学I,2025-09-20,025,加藤 愛,1-C,0,0,1,66.1,,,,
数学I,2025-09-20,014,山田 次郎,1-B,3,4,0,,98.3,,,
数学I,2025-09-20,020,渡辺 美咲,2-C,1,4,,70.0,,,,
数学I,2025-09-20,011,伊藤 花子,1-C,0,4,0,,,,良好,
数学I,2025-09-20,001,加藤 太郎,2-B,1,1,,61.9,,,普通,
数学I,2025-09-20,004,鈴木 美咲,2-C,1,4,3,,,,,
数学I,2025-09-20,007,山口 拓也,1-A,3,3,1,65.3,,,,
数学I,2025-09-20,015,伊藤 誠,1-C,3,4,3,,,,,
数学II,2025-09-20,011,高橋 葵,2-A,0,2,,,85.3,,良好,
数学II,2025-09-20,004,渡辺 太郎,2-C,0,4,3,76.5,83.5,,,
数学II,2025-09-20,013,加藤 美咲,2-A,2,0,,96.1,,,要注意,
数学II,2025-09-20,009,田中 次郎,1-B,2,3,1,85.6,,,,
数学II,2025-09-20,022,松本 勇,1-A,4,4,3,63.3,,,要注意,
数学II,2025-09-20,020,加藤 陽菜,1-C,0,0,2,,60.4,,,
数学II,2025-09-20,010,井上 結衣,2-C,4,0,4,,,,,
数学II,2025-09-20,002,山本 美咲,2-B,1,3,3,96.3,92.0,,,
数学II,2025-09-20,021,吉田 太郎,1-B,3,0,0,,,,良好,
数学II,2025-09-20,023,小林 愛,2-C,2,1,,,92.4,,要注意,
数学II,2025-09-20,017,山田 健太,1-A,1,1,0,80.7,94.7,,,
数学II,2025-09-20,015,鈴木 美咲,1-A,1,4,3,90.6,,,,
数学II,2025-09-20,019,加藤 大輔,2-A,3,2,0,,75.2,,,
数学II,2025-09-20,016,中村 剛,2-C,3,3,3,70.4,87.3,,,
数学II,2025-09-20,025,渡辺 修,1-C,0,2,1,,92.1,,,
数学II,2025-09-20,001,加藤 剛,2-C,2,1,2,,,,,
数学II,2025-09-20,024,田中 愛,2-B,3,0,0,,,,,
数学II,2025-09-20,005,佐々木 愛,2-A,3,1,4,99.7,,,,
英語コミュニケーション,2025-09-20,006,小林 誠,1-A,2,2,1,,,,,
英語コミュニケーション,2025-09-20,001,小林 美咲,1-B,0,3,2,84.1,,,,
英語コミュニケーション,2025-09-20,017,井上 大輔,2-A,0,0,,,,,要注意,
英語コミュニケーション,2025-09-20,019,林 楓,1-B,2,3,1,,89.5,,普通,
英語コミュニケーション,2025-09-20,004,清水 美咲,2-C,0,3,4,81.6,,,,
英語コミュニケーション,2025-09-20,002,松本 大輔,2-C,3,3,1,,,,,
英語コミュニケーション,2025-09-20,014,中村 凛,2-C,1,2,,95.1,,,普通,
英語コミュニケーション,2025-09-20,018,斎藤 愛,2-C,0,3,1,,,,,
英語コミュニケーション,2025-09-20,021,斎藤 大輔,1-B,1,1,4,83.0,83.2,,普通,
英語コミュニケーション,2025-09-20,012,清水 勇,1-A,0,1,3,,,,要注意,
英語コミュニケーション,2025-09-20,016,井上 拓也,2-C,1,1,,75.3,78.5,,,
英語コミュニケーション,2025-09-20,020,山田 健太,2-B,0,3,0,88.0,,,要注意,
英語コミュニケーション,2025-09-20,011,清水 誠,1-A,4,4,3,82.3,,,,
英語コミュニケーション,2025-09-20,015,山口 凛,1-A,2,4,4,60.5,75.4,,,
英語コミュニケーション,2025-09-20,008,小林 愛,2-A,3,2,0,,,,良好,
物理基礎,2025-09-20,009,加藤 太郎,1-A,3,0,0,,70.6,,要注意,
物理基礎,2025-09-20,021,田中 陽菜,2-C,3,4,3,82.5,,,普通,
物理基礎,2025-09-20,012,林 翔,1-B,4,4,4,64.5,,,要注意,
物理基礎,2025-09-20,011,清水 健太,1-A,4,0,2,80.9,74.8,,,
物理基礎,2025-09-20,003,田中 凛,1-C,1,3,3,,,,良好,
物理基礎,2025-09-20,005,清水 次郎,2-C,1,4,1,71.5,,,普通,
物理基礎,2025-09-20,020,林 さくら,2-C,3,2,4,93.8,60.3,,普通,
物理基礎,2025-09-20,001,高橋 陽菜,2-B,4,3,,78.1,,,良好,
物理基礎,2025-09-20,004,松本 美咲,1-A,0,0,1,,,,要注意,
物理基礎,2025-09-20,007,斎藤 凛,2-B,3,3,,77.7,,,要注意,
物理基礎,2025-09-20,002,吉田 美咲,1-A,0,3,0,68.9,,,良好,
物理基礎,2025-09-20,018,小林 拓也,1-A,3,4,0,,82.3,,良好,
物理基礎,2025-09-20,019,佐藤 勇,2-C,3,4,,,,,,
物理基礎,2025-09-20,006,加藤 結衣,2-A,0,2,,79.7,89.8,,,
化学基礎,2025-09-20,012,林 健太,1-A,3,2,2,,84.7,,,
化学基礎,2025-09-20,005,林 翔,1-A,4,4,0,86.2,,,普通,
化学基礎,2025-09-20,002,佐藤 誠,1-A,2,2,3,,,,,
化学基礎,2025-09-20,015,山本 太郎,1-C,0,0,,94.4,65.2,,良好,
化学基礎,2025-09-20,010,佐々木 誠,1-C,0,2,4,,,,,
化学基礎,2025-09-20,013,渡辺 楓,2-B,0,3,1,,60.2,,普通,
化学基礎,2025-09-20,016,斎藤 楓,1-A,2,0,4,,,,要注意,
化学基礎,2025-09-20,018,佐藤 修,2-B,3,1,3,77.8,,,,
化学基礎,2025-09-20,006,松本 誠,1-A,1,1,3,88.8,,,要注意,
化学基礎,2025-09-20,003,高橋 さくら,1-A,4,2,,,,,,
化学基礎,2025-09-20,009,加藤 葵,2-A,2,4,1,83.4,68.4,,,
化学基礎,2025-09-20,007,井上 愛,2-C,4,4,3,,,,要注意,
化学基礎,2025-09-20,011,山本 楓,2-B,3,1,0,,84.7,,,
化学基礎,2025-09-20,001,井上 愛,1-B,2,2,,87.6,,,,
日本史A,2025-09-20,022,清水 愛,2-A,0,3,4,96.7,,,良好,
日本史A,2025-09-20,005,渡辺 陽菜,2-C,2,1,3,,,,,
日本史A,2025-09-20,021,山田 剛,1-C,1,1,4,63.2,,,普通,
日本史A,2025-09-20,012,中村 さくら,2-A,0,2,3,,,,普通,
日本史A,2025-09-20,018,清水 花子,1-B,0,2,1,77.3,83.9,,要注意,
日本史A,2025-09-20,009,小林 健太,2-B,3,1,3,,86.6,,,
日本史A,2025-09-20,011,清水 優奈,1-C,2,1,,,,,良好,
日本史A,2025-09-20,020,佐々木 凛,2-A,1,0,4,,,,,
日本史A,2025-09-20,013,小林 太郎,2-A,1,4,,,,,,
日本史A,2025-09-20,001,高橋 陽菜,1-C,2,0,,82.8,,,,
日本史A,2025-09-20,007,鈴木 剛,2-C,0,3,1,93.9,,,,
日本史A,2025-09-20,014,高橋 さくら,2-C,0,2,3,76.7,,,普通,
日本史A,2025-09-20,002,山田 花子,2-B,4,0,,64.7,,,要注意,
日本史A,2025-09-20,008,中村 結衣,2-C,3,1,,79.5,,,良好,
日本史A,2025-09-20,016,高橋 愛,1-A,1,2,1,66.0,,,,
日本史A,2025-09-20,006,清水 優奈,1-B,3,3,4,,66.4,,,
数学I,2025-09-23,018,斎藤 楓,1-B,2,1,2,92.6,,,,
数学I,2025-09-23,009,清水 健太,2-B,4,0,0,88.9,,,,
数学I,2025-09-23,019,吉田 葵,2-C,4,3,2,68.9,,,,
数学I,2025-09-23,014,山田 次郎,1-B,4,4,,,72.1,,,
数学I,2025-09-23,004,鈴木 美咲,2-C,1,4,1,,,,,
数学I,2025-09-23,008,加藤 大輔,1-A,0,3,0,68.0,88.4,,普通,
数学I,2025-09-23,010,林 勇,1-B,1,4,4,72.9,73.5,,普通,
数学I,2025-09-23,006,伊藤 楓,1-B,3,0,3,,,,,
数学I,2025-09-23,001,加藤 太郎,2-B,2,0,0,94.7,,,,
数学I,2025-09-23,021,斎藤 大輔,2-C,4,3,4,,79.1,,良好,
数学I,2025-09-23,022,渡辺 凛,1-B,1,4,4,80.0,66.1,,要注意,
数学I,2025-09-23,012,松本 さくら,2-B,4,3,4,,64.0,,要注意,
数学I,2025-09-23,005,吉田 結衣,1-B,4,0,,,,,要注意,
数学I,2025-09-23,002,小林 翔,1-C,1,3,4,,,,,
数学I,2025-09-23,020,渡辺 美咲,2-C,1,1,,88.6,89.2,,要注意,
数学I,2025-09-23,013,山本 翔,2-A,0,4,1,,,,,
数学I,2025-09-23,003,鈴木 さくら,2-C,3,3,1,,,,普通,
数学II,2025-09-23,013,加藤 美咲,2-A,0,2,2,73.1,,,普通,
数学II,2025-09-23,010,井上 結衣,2-C,2,0,4,,,,,
数学II,2025-09-23,020,加藤 陽菜,1-C,3,2,3,93.0,89.7,,,
数学II,2025-09-23,024,田中 愛,2-B,3,2,,,97.8,,普通,
数学II,2025-09-23,003,佐々木 花子,2-B,1,4,3,97.3,,,,
数学II,2025-09-23,015,鈴木 美咲,1-A,0,4,3,,,,要注意,
数学II,2025-09-23,011,高橋 葵,2-A,0,2,0,72.9,,,,
数学II,2025-09-23,016,中村 剛,2-C,4,1,3,,64.6,,,
数学II,2025-09-23,012,渡辺 美咲,1-A,1,1,,76.7,,,普通,
数学II,2025-09-23,009,田中 次郎,1-B,3,4,3,,63.8,,良好,
数学II,2025-09-23,017,山田 健太,1-A,2,1,1,,78.8,,良好,
数学II,2025-09-23,005,佐々木 愛,2-A,0,2,0,84.9,,,,
数学II,2025-09-23,014,山田 優奈,1-C,0,0,3,77.4,,,,
数学II,2025-09-23,008,井上 凛,2-A,0,2,,96.9,,,普通,
数学II,2025-09-23,007,山口 葵,2-B,3,0,4,,,,,
数学II,2025-09-23,019,加藤 大輔,2-A,2,2,,86.6,84.8,,,
数学II,2025-09-23,018,斎藤 拓也,2-B,4,4,2,61.7,,,良好,
数学II,2025-09-23,022,松本 勇,1-A,4,2,,,,,要注意,
英語コミュニケーション,2025-09-23,012,清水 勇,1-A,4,2,2,,82.6,,,
英語コミュニケーション,2025-09-23,013,木村 太郎,1-C,4,0,4,66.8,,,,
英語コミュニケーション,2025-09-23,009,中村 楓,1-C,3,1,0,93.1,,,,
英語コミュニケーション,2025-09-23,002,松本 大輔,2-C,3,0,2,,93.6,,,
英語コミュニケーション,2025-09-23,019,林 楓,1-B,3,1,4,,,,,
英語コミュニケーション,2025-09-23,014,中村 凛,2-C,4,4,2,,,,良好,
英語コミュニケーション,2025-09-23,004,清水 美咲,2-C,2,0,0,,,,要注意,
英語コミュニケーション,2025-09-23,010,松本 拓也,2-C,0,3,1,,,,,
英語コミュニケーション,2025-09-23,007,山田 楓,1-C,3,2,3,,75.9,,要注意,
英語コミュニケーション,2025-09-23,022,渡辺 健太,2-A,1,1,3,97.8,77.9,,要注意,
